"{""ObjectName"":""Tab"",""Version"":""1.0"",""TimeZone"":""GMT"",""Pattern"":""""}"
id,name,label,logo,type,properties,objectId,description,pageId,webURL,bpId,layoutId,websiteId,reportId,showRegion,openWay,showDeviceType,createdBy,createdDate,lastModifiedBy,lastModifiedDate,systemModifiedDate,deletedDate,isDeleted,owner,installedPackage,custom,protectMode,visibility,belongTo
string,string,string,string,string,clob,string,string,string,string,string,string,string,string,numeric,numeric,string,string,date,string,date,date,date,bool,string,string,bool,numeric,numeric,string
001g0000015C7mGdSThI,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:53,10gd00000150QfGpNugy,2023-07-25 02:33:53,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mHHTv2O,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:54,10gd00000150QfGpNugy,2023-07-25 02:33:54,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mHmhnLU,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:54,10gd00000150QfGpNugy,2023-07-25 02:33:54,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mIEWU5o,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:54,10gd00000150QfGpNugy,2023-07-25 02:33:54,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mIawnMu,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:54,10gd00000150QfGpNugy,2023-07-25 02:33:54,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7urTwoM4,NPNM__equipment_fix_management_manageWorkOrderList,工单管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__manageWorkOrder,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:35:50,10gd00000150QfGpNugy,2023-07-25 02:35:50,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
001g0000015C81kIySmm,NPNM__equipment_fix_management_manageWorkOrderList,工单管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__editEquipment,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:37:23,10gd00000150QfGpNugy,2023-07-25 02:37:23,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C87775HAe,NPNM__equipment_fix_management_manageWorkOrder,工单管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__manageWorkOrder,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:38:36,10gd00000150QfGpNugy,2023-07-25 02:38:36,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
001g0000015C8BBmLpdA,NPNM__equipment_fix_management_workOrderList,工单列表（客服人员）,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__workOrderList,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:39:31,10gd00000150QfGpNugy,2023-07-25 02:39:31,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
001g0000015C8BkPhIdE,NPNM__equipment_fix_management_workOrderList,工单列表（客服人员）,menuicon icon-service,ViewTab,NULL,NULL,NULL,NULL,NPNM__workOrderList,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:39:39,10gd00000150QfGpNugy,2023-07-26 03:12:32,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
